statement_line_id,date,description,amount,running_balance
STMT0001,2025-06-02,Client Payment INV-001,1100000,11100000
STMT0002,2025-06-03,POS Settlement,800000,11900000
STMT0003,2025-06-04,Stripe Payout,950000,12850000
STMT0004,2025-06-05,Rent,-2500000,10350000
STMT0005,2025-06-06,Utilities,-220000,10130000
STMT0006,2025-06-07,Bank Fee,-15000,10115000
STMT0007,2025-06-08,Card Payment (Supplies + Lunch),-1000000,9115000
STMT0008,2025-06-09,Supplier Payment BILL-001,-600000,8515000
STMT0009,2025-06-10,Client Payment INV-002,550000,9065000
STMT0010,2025-06-11,Unknown Desc,-125000,8940000
